,0
266,"I came here for a date night dinner one Friday evening, and will certainly be back if I'm ever in the area and looking for sushi..PROS:-Great happy hour that doesn't end until about 7. I was able to get three really delicious cocktails for $5 each, and if we'd wanted some appetizers, those prices were fantastic too,-The sushi menu is pretty extensive and more than reasonably priced. We got four different rolls for under $40.-The staff were friendly and attentive. I took home some leftovers, and as I was looking for my waitress to ask for some to go chopsticks, a man who looked like the owner got up from his seat to come ask what I needed. He then proceeded to very sweetly not only get me the chopsticks but also bagged my food with additional soy sauce packets.-There's a piano player and one of the staff members sang some beautiful Christmas songs during our dinner. It was a really nice touch.CONS:-The menus and our tablecloth had some stains on them which isn't a big deal, it just took a little from the ambiance of an otherwise great restaurant."
267,"We were looking for a new sushi place and tried this today for lunch.My friend and I both ordered the spicy tuna (poke) bowls and were wowed by the portions and quality.  The lunch special included a starter of rich miso soup, which hit the spot.  The tuna bowl included rice, crab, spicy tuna, avocado, seaweed salad and spicy mayo drizzle.I can't wait to return!"
268,Crawfish dynamite and lobster dynamite were amazing! Service was great as well. Will definitely be back soon!
269,"I came here while visiting the area for work.  The interior of the place is nice, quiet, lots of seating.  Since it was just me, I got sat at the sushi bar.  Nuke was the chef and advised me to get the chef's special.   Sooo glad I did.  The food was all amazing, and getting to talk with Nuke was awesome too.  I highly recommend coming here if you're in the area.  The entire staff was friendly and accommodating too.  I'd return for sure."
270,Great little jewel in Las Colinas! I'm not a sushi fan but LOVE the Japanese fried rice with chicken. Very fresh ingredients. They happy hour has EXCELLENT prices! I absolutely enjoy the $2 Community draft beers during this time. All of the wait staff are knowledgeable and super nice!!! You MUST try this quaint little hidden jewel. You will not be disappointed
271,"I was in town for work and craving some sushi. I'm so glad I came here. Sat at the sushi bar, and their new sushi chef, Nuke, took care of me. I wasn't sure what to get but was up for anything so he pulled together a lovely sashimi plate with a variety of 5 different types of fish, 2 pieces each, and of generous sizes. The presentation was gorgeous. Then he made me a special role for the day that was perfectly balanced between sweet and heat and smooth and crunchy. Delicious meal overall. And the staff was quite pleasant. I highly recommend you stop by!"
272,The service is impeccable! Very traditional; pour your cold sake for you the moment it is low! A sushi was so fresh.  The salmon belly is out of this world!
273,"Can I just say how excited I was to learn Little Katana was coming to Las Colinas!?!? Not only do they have incredible service, but the food is always excellent. I've had an amazing experience here every time. They are quick and efficient with To-Go orders, too. I can't recommend this restaurant enough. (Try the Salmon Tower and the Hot Stone Seafood Bowl...incredible!)Side note: We came in today and chatted over lunch for two hours. Never once did they make us feel rushed. Even after we paid the bill, our waitress still refilled drinks and kept an eye on us. Great service!"
274,Server Estella was amazing!!! She recommended the best rolls and appetizers on the menu and the food was amazing. The katana roll and the katana 101 were the best rolls I've ever had! Definitely will be back if I'm ever in the area!! My first time and def won't be my last time. Thanks for making my first experience there a unforgettable one!
275,"Delicious. Excellent service. We came without a reservation and were seated right away. The sushi was beautifully presented. Our waitress was awesome. The owner was around to greet us and check in with us, was super friendly and even walked us out the door once we left."
276,"Just arrived to the Irving area and have been trying a lot of different places. Came here this afternoon for lunch and was told they only do brunch on Saturdays. Decided to stick around, best decision of my life. Ordered pot stickers 10/10, and the 2 for $10 sushi roll (spicy California and shrimp tempura), all of the food was enough for my wife and I. We also got mimosas 10/10 for $2 each. The bill came out to $22.73. The quality of the food was something you would expect to find in a much more expensive restaurant and the servers and staff were very polite. If you're looking for a great atmosphere and even better food this is your place!"
277,"Awesome experience. Literally everything was perfect about dinner tonight from the hot stones and sizzling dumplings, to the sushi rolls and dessert. We had great service and drinks as well. I recommend everyone check this place for a quiet but nice date night."
278,"This was my first time coming here. It was my birthday and so I had decided to try some place new and different from the usual Italian we do. Everyone was so happy that I chose this place. I don't eat sushi but they had other options which was really nice. Everyone was happy with what they had ordered. The service was good and staff was friendly. They were so nice that they gave us samples of wine to try before we ordered the bottle. I am very picky and like sweet ones and the waitress suggested us one that was perfect for my taste. I believe it was the owner who had come up to me and spoke to me while I was waiting on the rest of my group to show up so I didn't feel alone sitting at a table with 11 empty chairs.  The icing on the cake was when I was surprised with a mango cheesecake with a candle on it. I really didn't expect them to do that and felt really special. The entire table was delighted as well and felt very appreciative of the hospitality we received.  We will definitely be back again. By the way, that mango cheesecake was AMAZING!! (I am not a fan of mango) Must give it a try!"
279,Everything was so good. Nice little place with great ambiance. Sushi came out quickly as well. Will definitely return next time in area
280,Wanted to try Blue Fish because they are about to open one near us! The food is excellent and our server Michael was the best! Can't wait to eat at Blue Fish again!
281,This is the best Asian restaurant around this area! I especially like their dumping and bento box. The hot stone bowl fried rice is great too!
282,I love the location out in my neighborhood (Knox Henderson) glad they opened this location for my business lunches!
283,In Dallas ( Las Colinas) area this place rocks!! Probably the best sushi place I have been in a long time. You can taste the freshness which is important. The servers are amazing and display the true Japanese culture. The Lobster roll was amazing and I will definitely be back. Enjoy
284,"First time here! We come to the Dallas area twice a year for the Gift Market and decided to try something new. Fish was fresh and delicious in the sushi, orange ginger salmon was really good, loved the wasabi mashed potatoes. Dessert was chocolate torte that we couldn't finish. Overall a great experience. Service was excellent - friendly and attentive without being too invasive."
285,"I dined here with a co worker while in town this week, I ordered the hot stone bowl with bee,chicken and shrimp,  it was absolutely delicious.  The right amount of spice and fresh chopped veggies made this an excellent choice. The server chops all the ingredients in front of you and then serves in a round super hot bowl at the teable which cooks the  ingredients . I ate every last morsel in the bowl. My colleague had the avocado roll with salmon, it was excellent too. Service was quick and efficient and I'll be back time I'm in the area"
286,"Ambiance, service and quality! Generally you are lucky if you can find two of these three at a Dallas sushi restaurant but this place hit the trifecta. I will definitely be back soon."
287,I've been looking for a good lunch sushi option close to my new job and decided to stop in here....i will definitely be back! Probably the best tasting/quality salmon I've had in a long time! I have food allergies so it's always a concern to make sure adjustments are made and the food came out perfectly the first time. The staff is super friendly and very responsive. Atmosphere is warm and bright without being too stark or gloomy. I'll have to come back after work and try out the full bar!
288,They are always consistently good. The sushi always feels fresh and super tasty. Their ramen is outstanding too.
289,"Good sushi. Reasonably priced. Good ahi tower. The piano player was too loud, made conversation difficult. And I don't understand why they had a bright light shining on him."
290,"Quick friendly service. The sushi came out very fast. I had a kataniniti I believe it was, It was good and sweet. Happy hour has 2 for $8 rolls. 5 dollar calamari. Not bad."
291,Not that good for the price. There are quite a few sushi places that are much better for less
292,"Hands down, the BEST sushi restaurant in Irving. Sit at the the sushi bar and ask for Nuke. He is so friendly and is a phenomenal sushi chef. Ask for the Snow Mountain Roll or be lucky enough to get an special off the menu roll!"
293,"One of the better sushi experiences in the dfw area. Traditional in there approach for the most part. We had premium service from the sushi master Nuke. Too bad we were pressed for time, so we couldn't enjoy ourselves longer. Will have to come back again to see what else they have to offer. Four stars, unfortunately for Little Katana, I've been spoiled due to my time spent in California and Asia."
294,"This was my favorite restaurant to pick up my bento box for lunch. I've been going about a year and always substitute the California roll for my spicy tuna roll, I always pay an up charge, it's never been a problem. Today, while en route to the restaurant, I call in to place the order and am rudely told they no longer do substitutions, the lady can't tell me when this has changed and offers no substitution for this one time for a repeat, loyal customer. Since I'm basically there, I go in anyway to place the order, there is a gentleman at the door who helps me. I order my usual with the substitution he tells me the same thing. Rather than offering me my substitution this one time (since this is news to me they no longer take substations), he, who turns out to be the manager, would rather lose my business than fill my order this one time. I've brought customers, coworkers, etc to this restaurant, after today you've lost a customer forever. Horrible customer service, I'm very disappointed."
295,I went there during happy hour so I only tried items on that menu. But the prices were pretty good. 8$ for 2 sushi rolls. Less than 5$ appetizers! I tried Takayuki for the first time here and it was pretty amazing. Sushi rolls were good. Nothing extraordinary. Service was awesome! Waiters were very nice. Decor of the place is really cute and chic! It's a good date spot!
296,"Nice atmosphere with black table cloth and a piano in the back corner of the restaurant.  Happy hour price was $4 each for spicy tuna roll and tempura roll.  $2 Schilling Ale and hot sake.  Hamachi nigiri $6 Albacore Tuna $5.  The rolls were average, nothing special.  I guess that's what you get for $4.  But the quality of the hamachi and albacore were definitely below average.  They were not tender at all."
297,"This is by far the best sushi I've had since moving here 8 months ago! I loved every roll that we ordered.  I tried the Crawfish Dynamite, Louisiana, Yellow fish, and Katana 101 Roll."
298,"Delicious takeout order of spicy tuna roll, miso soup and steamed shrimp dumplings. My only recommendation is to provide a larger spoon (for takeout orders) for the miso soup."
299,"Cute little place. The food was good - I don't have any complaints there. They have a server/bartender there - her hair is dyed fun colors. I was only going to give this place 4 stars but I remembered her and how great she was, so the 5th star is just for her. She was super nice and convinced me to try a drink she just created. I loved it! Normally I'm iffy about trying new drinks, but she asked me questions and suggested her new creation and it was exactly what I like."
300,My husband and I waited literally till last minute on New Years eve to pick up some food. We decided on sushi. Little Katana's was the last place open in our area so we decided to stop by. We picked up a few rolls to ring in the new year and they were so yummy and decently priced. Definitely recommend!
301,"All around, highly recommend this place. Today was a particularly stressful morning at work, and then I stumbled upon this new restaurant. Grace, the server, so pleasant and nice, I like the black table cloths even at lunch, the meal was delicious (had a ramen bowl + sushi roll), and if I lived here I would definitely come back to try more because their quality of fish looks really good. Thanks for the great lunch and the reset button to today!"
302,"Stopped here for an early dinner after reading some great reviews.  We ordered the Sizzling Dumplings for an appetizer followed by the Charming Roll, Dragon Roll, and the No Problem roll.  Out of the three rolls, the No Problem was the best choice.  I didn't really enjoy the Charming or Dragon roll because of the rich mayo sauce and that may just be an acquired taste.  We passed on dessert.  The waitress that took care of us was prompt and attentive - great experience."
303,Great new place for sushi! The service and food has been outstanding during my three visits so far.
304,This is the second time we've tried this place and another disappointment. It looked like the place was understaffed. The service could have been way better than this. Not coming back again.
305,"I used to actually serve here so I know the process of how they make their dishes. It's delicious because most of their plates are made in house from scratch. We ordered their hot stone bowl and their katana sampler plate. Their dumplings are so soft, crispy, and full of flavor. Their calamari has a delicate balance of fried, soft, and chewy. Their stone bowl is perfectly well cooked rice and veggies and juicy pieces of shrimp. Katana has my favorite salmon roe sushi. Their mama roll didnt last long on the table. it's soft sesame salmon flesh deliciously surrounds carrot avocado and crabmeat mix. We also ordered their mango cheesecake and chocolate tort. Both desserts were densely packed with individual flavor and moisture. The cheesecake is made from scratch and has layers of mangochunks, whipped cream, and cinnamon pie crust. The Choco tort is rich and comparable to Choco fudge and is drizzled with raspberry sauce. Love this place, especially ever since they lowered some of their prices!"
306,"Second time here. Always a nice vibe sometimes even with live music. Always has the top football game on, no sound but still nice."
307,"Favorite sushi in the area! Their calamari is light and fresh, as well as their sashimi. The speciality fire and torch rolls were amazing! Ended dinner with the mango cheesecake which was OMG TO DIE FOR SO GOOD!!!!!Will be coming back again soon! Thuy was a great server and manager Casey was VERY welcoming :)"
308,"One of the best happy hours I've been to!! Happy hour food was amazing, half bottles of wine on Wednesday and Saturday, and the sushi/seafood Singapore noodles were fantastic! Highly recommended! Will definitely be back!!"
309,"Love this place! Great sushi, great atmosphere, and the service was impeccable."
310,Great service! Wonderful food! We got the sunny roll and it was amazing. Would recommend this place and will eat here again if we are in town.
311,"We moved from Houston, the culinary city of Texas, to Dallas and were looking for a good place to eat sushi. We ended Yelping sushi and Little Katana came up with highly favorable reviews. Let me say that we're glad we came here. The girlfriend and I were impressed with the attentive staff, the very fresh sushi, and amazing texture of their food. The icing on the cake was when they ran out of banana pudding. I was sad, ""Aaw"" but then instead gave us extra green mochi for free ""Yay!"" Great environment and fantastic food! Do yourself a favor and visit this place if you're in the Las Colinas area."
312,We're from California and were having a hard time finding a high quality sushi place in Irving. We happened to try this spot and it was awesome!!!  By far the best sushi we've had in DFW. High quality fresh fish and excellent service. We will be regulars!
313,"This place is great! The service was excellent. The food was exceptional. We had the chicken & waffles during the Saturday brunch. The chicken was seasoned wonderfully. The waffles were delicious. The mimosa were tasty! I highly recommend this spot. It is small, yet quaint and trendy. Very clean."
314,"This is a nice alternative for sushi, if you get tired of Blue Fish down the street. Service was good and the sushi is excellent. Their 2 for 10 sushi roll deal is very filling and they also offer a good variety of bento boxes, ramen and rice bowls. Will definitely come back."
315,BEST Sushi!!!  Sat at the Sushi Bar and visited with Chef Neuk.  Awesome Chef and so creative!  Sushi was FRESH!  This is now my favorite place to go.  Wish I knew how to post pics!
316,"Good luck finding Poke bowls in the DFW area - so I thought I would try a few Japanese/Sushi houses. This was a real winner. Yellowtail appetizer (wish fresh jalapeños) was fresh, sizable and very flavorful. Sushi was also fresh but try the brussel sprouts salad.  Incredible. Another great restaurant in my DFW rotation."
317,Great quiet little place for a date.  Found this place on accident.  Good food and great hospitality.
318,"This is an excellent sushi/ramen house located in an area that sorely needed a quality Japanese place.   The food is great, and service is top notch."
319,"Last night was my first time at little Katana. The ambiance was nice.  As for the food,  the hot stone seafood bowl was delicious and very filling.  I will definitely be back!!!!!"
320,The best Japanese in town the best food and the service is also the best. My wife and I made this our go to Japanese restaurant.
321,I have been to the best sushi restaurants on both coasts and this one ranks one of the best and in Dallas Texas! Who would believe that. The Akashi beef appetizer on hot stone was phenomenal as were there rolls and mango cheesecake. The service is 5 star. Impeccable!
322,"If you're in the mood for sushi, do yourself a favor & go here. We were our for our 21st anniversary. We initially had planned on going to Nobu. We decided we really just wanted a place that's more relaxed. After reading the reviews we opted for Little Katana. Don't let the fact that this gem is in a strip center deter you. Once you walk through the door, you will be pleased. We were immediately greeted & sat down. Our server Ashley was fantastic. She was attentive, explained the menu very well, & really takes pride in her job. The food was exceptional. We ordered from the hot menu as well as sushi. The sea bass sushi was fresh from the Japanese market & it melted in my mouth. The rolls were fresh & presented beautifully. We went on a Saturday night & they had live music (easy listening tunes that most will recognize).  It was loud enough to enjoy but still easily able to carry on a conversation.  They have 1/2 priced bottles of wine & saki on Saturday's. The manager (perhaps owner) stopped by several times to check on us & he was pleasant. We will definitely return. I wish Little Katana would come to Fort Worth. The ambience is perfect for a lovely dinner & the price point is great as well."
323,"Really good happy hour sushi! Very attentive staff , great place to relax after work!"
324,"My husband and I went on a Friday night and it was perfect!  The moment you walk in the décor and the atmosphere is perfect!  The clean shinning glasses on the table with BLACK tablecloths and napkins, perfect, are lovely!  So clean and the music is awesome. Just the right mix of tunes and the volume is perfect.   SERVICE is top notch.  Very attentive and helpful.  Just a perfect evening.  FOOD was amazing.  The Broccoli and Kale appetizer was wonderful and so pretty as well.  It was almost like lightly fried chips stacked on a lovely plate with a drizzle of balsamic vinegar glaze.  ASK for it!   The desserts are made in house daily!  Don't skip that part.  Mango Cheesecake was perfect and out of the ordinary.  YOU must go.  IT is worth the trip.So glad they are in Irving!Ms. Douget"
325,"Great service, great food. Love their extended hours, you barely can find a restaurant open this late in las colinas."
326,I've been eating sushi for many years and this is the best I've had. I asked Nuke to fix me up as opposed to ordering off of the menu. He rolled out a series of things that I can't describe. Do yourself a favor and go to Little Katana and ask for him to do the same. It will be the best sushi/sashimi experience of your life.
327,Great food. Sit at the sushi bar and introduce yourself to the chefs. Nuke is legit.  Let him pick your menu and ask for what is not on the menu.
328,Excellent sushi!  What a nice surprise.  Saturday night music was absolutely perfect with top notch sushi at a very reasonable price.  Definitely coming back here!
329,Little Katana was amazing! We came in at 3:30 on a Saturday and we were the only ones there. The service was great! We will be coming back.
330,"Great sushi restaurant! Fast and friendly service. Nice ambience..Has kids menu. Ordered 3 rolls- mama roll, katana roll and crab dynamite. All very good. Ended up with mango cheesecake- must try! Will definitely come back and try the other entrees."
331,"Just visiting Dallas and found this place on Yelp reviews were great so we came to see how it was. Pleasantly surprised by absolutely great, very attentive service from Myra. Manager Daniel was very attentive and courteous asking about and ensuring our satisfaction. Great food great place."
332,Excellent service and the quality of the food was superb. Nice wine list and a great happy hour.
333,Amazing place! The best Asian food I have taste around here and the people is so nice! The food taste is unbelievable and prices are very good as well! Highly recommended!
334,"Excellent sushi, lovely atmosphere, perfect cocktails! Yellow tail sushi, perhaps called nigiri in other restaurants, was a huge hit. The red bean ice cream bread pudding was the perfect ending to our meal."
335,"So good.  Sit at the bar and let the chef, Nuke, take care of you.   His style is a great mix if contemporary and traditional and really seems to enjoy taking care of the customers.   Entertaining and absolutely delicious.   This is definitely in the rotation now when I come to town for work.   Thanks Nuke"
336,"Let the chef, Nuke,  build your meal. Give him free reign and your mind will be blown. Incredible experience!!!"
337,"Ate here two weekends ago and sat at the sushi bar. It was a relatively slow night, and Nuke recommended that we go off menu and let him create a chef's tasting. We started out with an Edo-style sushi tasting. Everything was phenomenally fresh, and the subtle changes that Nuke made to an otherwise very traditional tasting gave each piece his own signature uniqueness. After, we had two hand rolls and a specialty roll - both of which were outstanding. In sum, one of the best sushi meals I've had in Texas, and Nuke's Edo-style tasting rivaled the same experience in Tsukiji market in Tokyo. I can safely say that I will be back."
338,"As several of the more recent reviews suggest, one of Little Katana's newest Sushi Chefs Nuk has definitely up-leveled the Sushi! I'd been here for Dinner a couple of times previously and Nuk's dishes were definitely a notch above what I've experienced previously. Standouts included the Uni shooter and the marinated/smoked Yellowtail. Do yourself a favor and sit at the Sushi bar when Nuk is there, he will keep me coming back for sure."
339,"We loved this place until today! One of our coworkers had tuna sushi.  As soon as he bit into it he tasted something like hand sanitizer and it was as burning his mouth.  He told the waitress he wasn't looking for a discount he just wanted them to know their tuna had some kind of chemicals on it.  She came back to the table and said that the tuna was fresh and it just must have too much mercury in it.  You can't see, smell or taste mercury.  It was a chemical.  We won't be going back!"
340,Extremely fresh and delicious sushi!  The best sushi I've found in Las Colinas.  Katana 101 is my favorite along w the sizzling dumplings.
341,"Boyfriend and I had a little sushi date here at Little Katana and was so happy and delighted when we left. We sat at the sushi bar was graciously allowed to change the big screen to the game. We split and appetizer of the crispy calamari and honestly their batter is truly the best batter I would have never thought to pair great texture. Next we split the ANGEL roll which were a mouth full each bite, but were delightful and refreshing none the less. Of course we had to have a spicy type roll which so we continued with the SPICY SALMON ROLL and those pieces where so full and obviously made with love it was amazing. Then our last roll as my number one love and truly how I judge my sushi bars the SPIDER ROLL. Better than majority of the sushi bars right off the coast of California hands down. Ending our stay we enjoyed a bowl of miso and hot tea. So thankful y'all are around the corner, see you again soon!"
342,The food was probably some of the best I've had in a very long time. The Hot Stone Bowl with beef was absolutely amazing and very filling. The mango cheesecake was seriously the best cheesecake I've ever had and normally I don't like cheesecake. It wasn't super dense and tasted amazing. The ambiance of the restaurant was very nice and proved for a great mood.
343,"Husband and I have very much been looking forward to the opening.  We were finally able to go and the service, food, ambiance, etc. transcended our expectations.  We struggled choosing what to order, as there were so many options that excited us.  We will certainly be returning soon to try the other items.  As for tonight, we had beer and wine, edamame, sushi rolls, and sashimi.  I was a bit of a nuisance and asked to customize a roll.  They did so without judgement and it was fantastic.  I absolutely cannot wait to go back!"
344,"I came in with my wife on Valentines Friday due to the reputation of the Little Katana brand and having eaten at their other locations. We were promptly seated as the holiday weekend rush hadn't quite started and then promptly asked if we needed anything else... Then about 5 minutes later asked again if we were doing okay still without much ability to actually enjoy the restaurant or each other's company! This overbearing service continued throughout the meal, which almost seemed like a cover for the fact the food was far below what I expected from a Little Katana location and what I've actually gotten from other locations in the past. I understand this location is still getting its feet underneath themselves but there is much improvement required in my mind in order to live up to its named and inherited reputation."
345,I visited two nights ago. Everything tasted delicious until about an hour later when I started vomiting. I got food poisoning and I am pretty sure it was from the unagi.
346,I love every Little Katana in DFW.  So loved that they were in Las Colinas.  Never fails.  Fresh and flavorful.  Variety of choices and are happy to customize.
347,"We had one five star experience and one two star experience.  The first was on a Saturday night with my husband and me.  We enjoyed the live music, the half price bottles of wine, and actually thought the food was really great - one of the few places in Las Colinas we actually truly like!  Second time our sweet and eager server was brand new and didn't seem to understand how to figure things out.  He also neglected to tell us that it was half price bottle of wine night (on wednesday) - and I didn't see it on the chalkboard until we were done with our meal :(.  Albacore jungle was mediocre, Kalbi was tough and sub par, and although they historically pan seared our gyoza vs. fried, they had a conflict about whether or not they could do it for us this time.  The manager finally stepped in and went to the back to do it himself which was great, but did not completely make up for the other food issues.  Brussel sprouts are always a hit :).  We will definitely keep trying and will be back."
348,Absolutely a step up from the last place that was here. The food was amazing and the service was even more so. I can't wait to try happy hour!!!! Thank you for a wonderful meal!
349,"My first visit to this place was less than memorable.  The walls are painted black, the table cloths are black. It is a very dismal and dim place.  We were seated and waited nearly 10 minutes to get waited on, and the place wasn't that busy.   We also should have been asked if this was our first visit. We didn't know that we had to fill in a sheet on the table as to what we wanted to order.  Our orders did  not come out at the same time either. A bit too pricey for what little you get. It was not a good value for the price."
350,"Great food, perfect service. Will continue to come here as often as I can! Particularly love the hot stone bowl, the sizzling dumplings, and the agedashi tofu."
351,"Good service.  Food is tasty and served in a timely manner.  Some of the seafood a bit ""fishey "".  Otherwise great place for dinner."
352,"I do not write reviews very often at all, but I have to for the experience I had at this really fine restaurant. I have been a weekly regular for the past several months, as it is located close to my residence. The staff is extremely friendly and service is spot on. I was in tonight on the 2nd of February, and had my usual, Sushi Roll/Happy Hour Shrimp Tempura, and a couple beers. After I asked for the check, I noticed the price for my Lobster Sushi roll was $20.00, and not the price on the menu which was $15.00. I will tell you, I normally never even look at my checks, as I trust the establishments I do business with. Well, as I noticed the difference on this check, I mentioned this to the nice waitress who I know. She went to the Manager (not Kenneth), and I noticed a tense conversation between the two at the bar area. Within a couple minutes, the waitress came back to me, and said the manager said the price was incorrect on the menu, and it was actually $20.00. I really did not know what to say, and nor did the nice waitress. I did not want to make a scene with her, so I paid the extra $5.00 bucks, but asked that he come to my table. I have had pleasant conversations with this manager in the past, so I was surprised to say the least. I obviously gave him my opinion about the practice of not honoring menu prices, and putting the nice waitress in the uncomfortable position of defending a Manager who definitely doesn't support his staff. As a regular of this establishment, I was shocked with the manager's decision process. I will definitely never go back to this establishment, or any establishment who does not honor pricing on their menu. I think he put this on his staff, for not telling me the price was not correct on the menu. Has he ever heard of printing updated menus. I feel terrible for the staff. They deserve better."
353,stopped in on a whim since i got the hot and new notification... sat at the bar.. asst mgr was behind the bar.. a lil pushy... wisely he knew i wasnt feelin him... he over some female attention... thats wats up... everything cool from there.. not as bomb as zennas but its in my hood
354,"Great sushi and friendly service.   We had the dragon roll, and the chef special which is sushi and sashimi.   Everything was very good."
355,"Great new addition to Las Colinas. Nice alternative to Blue Fish - more traditional. Had the Ahi Tower - its made with spicy tuna and was great. Dynamite sauce is really good and the shrimp tempura roll was awesome. Will definitely be back - interested to try the hibachi - no sitting with others and no show, my kind of hibachi."
356,"Great Sushi, Fast and friendly service, and great atmosphere!  Will come back soon!!! Can't wait to try more on the menu. New place!"
357,"Arrived in Dallas for business and got off the plane very hungry. My friend was craving some ramen and found La Katana. After stepping inside, I was surprised a little. I had to take a second look at their Yelp page to see how many $s they had; only two. It looked like the restaurant could be pricier. A small bar was on the left as soon as you entered. All the tables were gathered in the center and a small piano towards the back right. The sushi bar was placed straight back, where we decided to sit. Our server was friendly and knowledgeable, pushing fresh fish on their daily special menu. I caved and went with one of them. 2 pieces of sushi for $10. Pricey for me, but I splurged. The fish was very fresh. I also ordered the kimchi ramen. Extremely delicious! So much so, I even finished all the broth. I had ordered two rolls, but they were common rolls found at any sushi place. I used them as fillers just to get me full. If I visit Dallas again, I will be back. Thank you for the great service and food!"
358,"i really liked this place, everything we ordered was delicious. they made a little mistake with what we ordered but they were happy to replace it. the mamma roll and pappa roll were my favorite. the staff was friendly too. i am itching to go back."
